crop_name,category,aliases,water_need_mm,preferred_soils,suitable_soils,preferred_seasons,planting_months,district_hints,notes,source_type,disclaimer,supported_queries,confidence,soil_scores_json,season_scores_json
Capsicum,Vegetable,bell pepper|sweet pepper|kudamilagai,500,alluvial soil|red soil,alluvial soil|red soil|clay soil,Rabi|Kharif,June-January,Protected cultivation or milder climates are better,High humidity can increase disease pressure.,assumption_based_fallback,"This record is a manually created agronomic assumption for fallback suitability guidance only. It is not part of the original historical dataset or trained ML model, and it may be wrong.",suitability|whatif|planting_time|generic_fertilizer,medium,"{""alluvial soil"": 1.0, ""red soil"": 0.9, ""clay soil"": 0.55, ""black soil"": 0.5}","{""Rabi"": 1.0, ""Kharif"": 0.8, ""Winter"": 0.9, ""Summer"": 0.35}"
Chow Chow,Vegetable,chayote,700,alluvial soil|red soil,alluvial soil|red soil,Kharif|Rabi,June-September,Best in hills and cooler belts,Generally better in elevated mild-climate areas.,assumption_based_fallback,"This record is a manually created agronomic assumption for fallback suitability guidance only. It is not part of the original historical dataset or trained ML model, and it may be wrong.",suitability|whatif|planting_time|generic_fertilizer,medium,"{""alluvial soil"": 1.0, ""red soil"": 0.8, ""clay soil"": 0.4, ""black soil"": 0.45}","{""Kharif"": 1.0, ""Rabi"": 0.8, ""Summer"": 0.3}"
Bitter Gourd,Vegetable,bitter melon|pavakkai,450,alluvial soil|red soil,alluvial soil|red soil|black soil,Kharif|Summer|Rabi,June-September|January-March,Possible in many warm districts,Climbers need staking and disease management.,assumption_based_fallback,"This record is a manually created agronomic assumption for fallback suitability guidance only. It is not part of the original historical dataset or trained ML model, and it may be wrong.",suitability|whatif|planting_time|generic_fertilizer,medium,"{""alluvial soil"": 1.0, ""red soil"": 0.9, ""black soil"": 0.7, ""clay soil"": 0.45}","{""Kharif"": 1.0, ""Summer"": 0.9, ""Rabi"": 0.8}"
Bottle Gourd,Vegetable,sorakkai,450,alluvial soil|red soil,alluvial soil|red soil|black soil,Kharif|Summer|Rabi,June-September|January-March,Warm season vine crop across many districts,Needs regular irrigation during fruiting.,assumption_based_fallback,"This record is a manually created agronomic assumption for fallback suitability guidance only. It is not part of the original historical dataset or trained ML model, and it may be wrong.",suitability|whatif|planting_time|generic_fertilizer,medium,"{""alluvial soil"": 1.0, ""red soil"": 0.85, ""black soil"": 0.7, ""clay soil"": 0.5}","{""Kharif"": 1.0, ""Summer"": 0.9, ""Rabi"": 0.8}"
Ridge Gourd,Vegetable,peerkankai,450,alluvial soil|red soil,alluvial soil|red soil|black soil,Kharif|Summer|Rabi,June-September|January-March,Widely possible under irrigation,Needs trellis support for good quality fruits.,assumption_based_fallback,"This record is a manually created agronomic assumption for fallback suitability guidance only. It is not part of the original historical dataset or trained ML model, and it may be wrong.",suitability|whatif|planting_time|generic_fertilizer,medium,"{""alluvial soil"": 1.0, ""red soil"": 0.85, ""black soil"": 0.7, ""clay soil"": 0.5}","{""Kharif"": 1.0, ""Summer"": 0.9, ""Rabi"": 0.8}"
Snake Gourd,Vegetable,pudalangai,500,alluvial soil|red soil,alluvial soil|red soil|black soil,Kharif|Summer|Rabi,June-September|January-March,Suitable in many warm districts,Good drainage improves vine health.,assumption_based_fallback,"This record is a manually created agronomic assumption for fallback suitability guidance only. It is not part of the original historical dataset or trained ML model, and it may be wrong.",suitability|whatif|planting_time|generic_fertilizer,medium,"{""alluvial soil"": 1.0, ""red soil"": 0.85, ""black soil"": 0.7, ""clay soil"": 0.45}","{""Kharif"": 1.0, ""Summer"": 0.9, ""Rabi"": 0.8}"
Pumpkin,Vegetable,,500,alluvial soil|red soil,alluvial soil|red soil|black soil|clay soil,Kharif|Summer|Rabi,June-September|January-March,Broadly suitable with space and water,Long-duration vine crop; avoid water stagnation.,assumption_based_fallback,"This record is a manually created agronomic assumption for fallback suitability guidance only. It is not part of the original historical dataset or trained ML model, and it may be wrong.",suitability|whatif|planting_time|generic_fertilizer,medium,"{""alluvial soil"": 1.0, ""red soil"": 0.85, ""black soil"": 0.75, ""clay soil"": 0.55}","{""Kharif"": 1.0, ""Summer"": 0.85, ""Rabi"": 0.8}"
Cucumber,Vegetable,vellarikai,400,alluvial soil|red soil,alluvial soil|red soil|black soil,Summer|Rabi|Kharif,January-March|June-September,Good in warm irrigated districts,Quality improves with steady irrigation.,assumption_based_fallback,"This record is a manually created agronomic assumption for fallback suitability guidance only. It is not part of the original historical dataset or trained ML model, and it may be wrong.",suitability|whatif|planting_time|generic_fertilizer,medium,"{""alluvial soil"": 1.0, ""red soil"": 0.85, ""black soil"": 0.7, ""clay soil"": 0.45}","{""Summer"": 1.0, ""Rabi"": 0.85, ""Kharif"": 0.8}"
Watermelon,Vegetable,,350,alluvial soil|red soil,alluvial soil|red soil|black soil,Summer|Rabi,December-March,Prefers dry warm fruiting conditions,Sandy well-drained fields are ideal.,assumption_based_fallback,"This record is a manually created agronomic assumption for fallback suitability guidance only. It is not part of the original historical dataset or trained ML model, and it may be wrong.",suitability|whatif|planting_time|generic_fertilizer,medium,"{""alluvial soil"": 1.0, ""red soil"": 0.9, ""black soil"": 0.65, ""clay soil"": 0.35}","{""Summer"": 1.0, ""Rabi"": 0.85, ""Kharif"": 0.45}"
Muskmelon,Vegetable,melon,350,alluvial soil|red soil,alluvial soil|red soil,Summer|Rabi,December-March,Better in warm dry tracts under irrigation,Excess rain during fruiting reduces quality.,assumption_based_fallback,"This record is a manually created agronomic assumption for fallback suitability guidance only. It is not part of the original historical dataset or trained ML model, and it may be wrong.",suitability|whatif|planting_time|generic_fertilizer,medium,"{""alluvial soil"": 1.0, ""red soil"": 0.85, ""black soil"": 0.45, ""clay soil"": 0.3}","{""Summer"": 1.0, ""Rabi"": 0.8, ""Kharif"": 0.35}"
Drumstick,Vegetable,moringa|murungai,400,red soil|alluvial soil,red soil|alluvial soil|black soil,Kharif|Rabi|Summer|Whole Year,June-December|with irrigation almost year-round,Good in dry and semi-arid districts with drainage,Perennial crop; waterlogging is harmful.,assumption_based_fallback,"This record is a manually created agronomic assumption for fallback suitability guidance only. It is not part of the original historical dataset or trained ML model, and it may be wrong.",suitability|whatif|planting_time|generic_fertilizer,medium,"{""red soil"": 1.0, ""alluvial soil"": 0.9, ""black soil"": 0.7, ""clay soil"": 0.35}","{""Kharif"": 0.9, ""Rabi"": 1.0, ""Summer"": 0.85, ""Whole Year"": 0.8}"
Papaya,Fruit,pappali,900,alluvial soil|red soil,alluvial soil|red soil|black soil,Kharif|Rabi|Whole Year,June-October|January-February,Possible in many irrigated districts,Sensitive to waterlogging and viral pressure.,assumption_based_fallback,"This record is a manually created agronomic assumption for fallback suitability guidance only. It is not part of the original historical dataset or trained ML model, and it may be wrong.",suitability|whatif|planting_time|generic_fertilizer,medium,"{""alluvial soil"": 1.0, ""red soil"": 0.9, ""black soil"": 0.65, ""clay soil"": 0.3}","{""Kharif"": 0.9, ""Rabi"": 1.0, ""Whole Year"": 0.85, ""Summer"": 0.55}"
Guava,Fruit,koyya,800,red soil|alluvial soil,red soil|alluvial soil|black soil,Kharif|Rabi|Whole Year,June-December,Adaptable in many districts with irrigation,Pruning and fruit fly management are important.,assumption_based_fallback,"This record is a manually created agronomic assumption for fallback suitability guidance only. It is not part of the original historical dataset or trained ML model, and it may be wrong.",suitability|whatif|planting_time|generic_fertilizer,medium,"{""red soil"": 1.0, ""alluvial soil"": 0.9, ""black soil"": 0.7, ""clay soil"": 0.35}","{""Kharif"": 0.85, ""Rabi"": 1.0, ""Whole Year"": 0.8, ""Summer"": 0.55}"
Sapota,Fruit,chikoo|sapodilla|sappota,900,red soil|alluvial soil,red soil|alluvial soil|black soil,Kharif|Rabi|Whole Year,June-December,Warm irrigated belts are suitable,Perennial fruit crop requiring drainage.,assumption_based_fallback,"This record is a manually created agronomic assumption for fallback suitability guidance only. It is not part of the original historical dataset or trained ML model, and it may be wrong.",suitability|whatif|planting_time|generic_fertilizer,medium,"{""red soil"": 1.0, ""alluvial soil"": 0.9, ""black soil"": 0.7, ""clay soil"": 0.35}","{""Kharif"": 0.85, ""Rabi"": 1.0, ""Whole Year"": 0.8, ""Summer"": 0.6}"
Amla,Fruit,gooseberry|nellikai,600,red soil|black soil,red soil|black soil|alluvial soil,Kharif|Rabi|Whole Year,June-December,Good for drier districts too,Hardy fruit tree suited to semi-arid tracts.,assumption_based_fallback,"This record is a manually created agronomic assumption for fallback suitability guidance only. It is not part of the original historical dataset or trained ML model, and it may be wrong.",suitability|whatif|planting_time|generic_fertilizer,medium,"{""red soil"": 1.0, ""black soil"": 0.8, ""alluvial soil"": 0.75, ""clay soil"": 0.4}","{""Kharif"": 0.9, ""Rabi"": 1.0, ""Whole Year"": 0.85, ""Summer"": 0.7}"
Pomegranate,Fruit,mathulai,550,red soil|alluvial soil,red soil|alluvial soil|black soil,Rabi|Whole Year|Kharif,June-December,Better in dry zones with controlled irrigation,Excess humidity can increase disease issues.,assumption_based_fallback,"This record is a manually created agronomic assumption for fallback suitability guidance only. It is not part of the original historical dataset or trained ML model, and it may be wrong.",suitability|whatif|planting_time|generic_fertilizer,medium,"{""red soil"": 1.0, ""alluvial soil"": 0.85, ""black soil"": 0.75, ""clay soil"": 0.25}","{""Rabi"": 1.0, ""Whole Year"": 0.85, ""Kharif"": 0.75, ""Summer"": 0.7}"
Lemon,Fruit,elumichai|acid lime|lime,700,red soil|alluvial soil,red soil|alluvial soil|black soil,Kharif|Rabi|Whole Year,June-December,Suited to many citrus-growing belts,Good drainage and micronutrient care help.,assumption_based_fallback,"This record is a manually created agronomic assumption for fallback suitability guidance only. It is not part of the original historical dataset or trained ML model, and it may be wrong.",suitability|whatif|planting_time|generic_fertilizer,medium,"{""red soil"": 1.0, ""alluvial soil"": 0.9, ""black soil"": 0.65, ""clay soil"": 0.35}","{""Kharif"": 0.85, ""Rabi"": 1.0, ""Whole Year"": 0.8, ""Summer"": 0.55}"
Orange,Fruit,sweet orange|sathukudi,800,red soil|alluvial soil,red soil|alluvial soil,Rabi|Kharif,June-December,Better in well-drained orchard belts,Heavy clay and waterlogging are unsuitable.,assumption_based_fallback,"This record is a manually created agronomic assumption for fallback suitability guidance only. It is not part of the original historical dataset or trained ML model, and it may be wrong.",suitability|whatif|planting_time|generic_fertilizer,medium,"{""red soil"": 1.0, ""alluvial soil"": 0.85, ""black soil"": 0.45, ""clay soil"": 0.3}","{""Rabi"": 1.0, ""Kharif"": 0.8, ""Whole Year"": 0.7, ""Summer"": 0.45}"
Grapes,Fruit,thiratchai,700,red soil|alluvial soil,red soil|alluvial soil|black soil,Rabi|Summer|Whole Year,December-February|June-July (regional),Suitable only in select belts with management,Requires trellising and strong disease management.,assumption_based_fallback,"This record is a manually created agronomic assumption for fallback suitability guidance only. It is not part of the original historical dataset or trained ML model, and it may be wrong.",suitability|whatif|planting_time|generic_fertilizer,medium,"{""red soil"": 1.0, ""alluvial soil"": 0.85, ""black soil"": 0.65, ""clay soil"": 0.2}","{""Rabi"": 1.0, ""Summer"": 0.9, ""Whole Year"": 0.8, ""Kharif"": 0.4}"
Jackfruit,Fruit,palaa,1200,alluvial soil|red soil,alluvial soil|red soil|clay soil,Kharif|Whole Year,June-December,Humid and high-rainfall belts suit better,Tree crop better in higher rainfall zones.,assumption_based_fallback,"This record is a manually created agronomic assumption for fallback suitability guidance only. It is not part of the original historical dataset or trained ML model, and it may be wrong.",suitability|whatif|planting_time|generic_fertilizer,medium,"{""alluvial soil"": 1.0, ""red soil"": 0.8, ""clay soil"": 0.55, ""black soil"": 0.5}","{""Kharif"": 1.0, ""Whole Year"": 0.85, ""Rabi"": 0.7, ""Summer"": 0.45}"
Pineapple,Fruit,annasi,1000,red soil|alluvial soil,red soil|alluvial soil,Kharif|Whole Year,June-September,Humid belts and lighter soils are better,Requires good drainage; heavy soils are risky.,assumption_based_fallback,"This record is a manually created agronomic assumption for fallback suitability guidance only. It is not part of the original historical dataset or trained ML model, and it may be wrong.",suitability|whatif|planting_time|generic_fertilizer,medium,"{""red soil"": 1.0, ""alluvial soil"": 0.9, ""black soil"": 0.35, ""clay soil"": 0.25}","{""Kharif"": 1.0, ""Whole Year"": 0.8, ""Rabi"": 0.7, ""Summer"": 0.35}"
Rose,Flower,roja,700,alluvial soil|red soil,alluvial soil|red soil|black soil,Rabi|Whole Year|Kharif,June-January,Possible in many irrigated flower belts,Quality depends heavily on management and market access.,assumption_based_fallback,"This record is a manually created agronomic assumption for fallback suitability guidance only. It is not part of the original historical dataset or trained ML model, and it may be wrong.",suitability|whatif|planting_time|generic_fertilizer,medium,"{""alluvial soil"": 1.0, ""red soil"": 0.9, ""black soil"": 0.65, ""clay soil"": 0.35}","{""Rabi"": 1.0, ""Whole Year"": 0.85, ""Kharif"": 0.75, ""Summer"": 0.5}"
Jasmine,Flower,malli|madurai malli|jathi malli|mullai,700,red soil|alluvial soil,red soil|alluvial soil|black soil,Whole Year|Rabi|Summer,June-December,"Traditional flower belts in Madurai, Dindigul, Tirunelveli etc.",Perennial flower crop; heavy waterlogging is harmful.,assumption_based_fallback,"This record is a manually created agronomic assumption for fallback suitability guidance only. It is not part of the original historical dataset or trained ML model, and it may be wrong.",suitability|whatif|planting_time|generic_fertilizer,medium,"{""red soil"": 1.0, ""alluvial soil"": 0.9, ""black soil"": 0.65, ""clay soil"": 0.3}","{""Whole Year"": 1.0, ""Rabi"": 0.9, ""Summer"": 0.8, ""Kharif"": 0.75}"
Marigold,Flower,saamanthi|samanthi,450,alluvial soil|red soil,alluvial soil|red soil|black soil|clay soil,Kharif|Rabi|Winter,June-January,Short-duration flower suitable across many districts,Popular for loose flower and garland markets.,assumption_based_fallback,"This record is a manually created agronomic assumption for fallback suitability guidance only. It is not part of the original historical dataset or trained ML model, and it may be wrong.",suitability|whatif|planting_time|generic_fertilizer,medium,"{""alluvial soil"": 1.0, ""red soil"": 0.9, ""black soil"": 0.75, ""clay soil"": 0.6}","{""Kharif"": 0.9, ""Rabi"": 1.0, ""Winter"": 0.95, ""Summer"": 0.55}"
Chrysanthemum,Flower,sevvanthi,500,alluvial soil|red soil,alluvial soil|red soil|black soil,Rabi|Winter|Kharif,June-January,Cooler months improve flower quality,Needs staking and disease management in humid weather.,assumption_based_fallback,"This record is a manually created agronomic assumption for fallback suitability guidance only. It is not part of the original historical dataset or trained ML model, and it may be wrong.",suitability|whatif|planting_time|generic_fertilizer,medium,"{""alluvial soil"": 1.0, ""red soil"": 0.9, ""black soil"": 0.65, ""clay soil"": 0.4}","{""Rabi"": 1.0, ""Winter"": 0.95, ""Kharif"": 0.75, ""Summer"": 0.4}"
Tuberose,Flower,sambangi,600,alluvial soil|red soil,alluvial soil|red soil|black soil,Whole Year|Kharif|Rabi,Almost year-round with irrigation,Common in irrigated flower belts,Bulb crop for loose flowers and cut flower use.,assumption_based_fallback,"This record is a manually created agronomic assumption for fallback suitability guidance only. It is not part of the original historical dataset or trained ML model, and it may be wrong.",suitability|whatif|planting_time|generic_fertilizer,medium,"{""alluvial soil"": 1.0, ""red soil"": 0.9, ""black soil"": 0.65, ""clay soil"": 0.35}","{""Whole Year"": 1.0, ""Kharif"": 0.85, ""Rabi"": 0.9, ""Summer"": 0.75}"
Crossandra,Flower,kanakambaram,550,red soil|alluvial soil,red soil|alluvial soil|black soil,Whole Year|Kharif|Rabi,June-December,Good in warm irrigated flower districts,Sensitive to poor drainage.,assumption_based_fallback,"This record is a manually created agronomic assumption for fallback suitability guidance only. It is not part of the original historical dataset or trained ML model, and it may be wrong.",suitability|whatif|planting_time|generic_fertilizer,medium,"{""red soil"": 1.0, ""alluvial soil"": 0.9, ""black soil"": 0.65, ""clay soil"": 0.3}","{""Whole Year"": 1.0, ""Kharif"": 0.85, ""Rabi"": 0.9, ""Summer"": 0.7}"
Clove,Spice,lavangam,1500,red soil|alluvial soil,red soil|alluvial soil,Kharif|Whole Year,June-December,Humid high-rainfall hills / Kanyakumari-type belts,Assumed suitable only in humid perennial spice belts.,assumption_based_fallback,"This record is a manually created agronomic assumption for fallback suitability guidance only. It is not part of the original historical dataset or trained ML model, and it may be wrong.",suitability|whatif|planting_time|generic_fertilizer,medium,"{""red soil"": 1.0, ""alluvial soil"": 0.8, ""black soil"": 0.25, ""clay soil"": 0.2}","{""Kharif"": 1.0, ""Whole Year"": 0.85, ""Rabi"": 0.65, ""Summer"": 0.25}"
Nutmeg,Spice,jathikkai,1500,red soil|alluvial soil,red soil|alluvial soil,Kharif|Whole Year,June-December,Humid perennial spice zones,Better in high rainfall warm humid districts.,assumption_based_fallback,"This record is a manually created agronomic assumption for fallback suitability guidance only. It is not part of the original historical dataset or trained ML model, and it may be wrong.",suitability|whatif|planting_time|generic_fertilizer,medium,"{""red soil"": 1.0, ""alluvial soil"": 0.8, ""black soil"": 0.3, ""clay soil"": 0.2}","{""Kharif"": 1.0, ""Whole Year"": 0.85, ""Rabi"": 0.65, ""Summer"": 0.25}"
Cinnamon,Spice,lavangapattai,1200,red soil|alluvial soil,red soil|alluvial soil,Kharif|Whole Year,July-August,Best in humid spice tracts,Perennial spice bark crop needing humid climate.,assumption_based_fallback,"This record is a manually created agronomic assumption for fallback suitability guidance only. It is not part of the original historical dataset or trained ML model, and it may be wrong.",suitability|whatif|planting_time|generic_fertilizer,medium,"{""red soil"": 1.0, ""alluvial soil"": 0.8, ""black soil"": 0.3, ""clay soil"": 0.25}","{""Kharif"": 1.0, ""Whole Year"": 0.85, ""Rabi"": 0.65, ""Summer"": 0.25}"
Fenugreek,Spice,vendhayam,300,alluvial soil|red soil,alluvial soil|red soil|black soil,Rabi|Winter,October-November,Cool dry season crop,Short duration and suited to cooler dry months.,assumption_based_fallback,"This record is a manually created agronomic assumption for fallback suitability guidance only. It is not part of the original historical dataset or trained ML model, and it may be wrong.",suitability|whatif|planting_time|generic_fertilizer,medium,"{""alluvial soil"": 1.0, ""red soil"": 0.8, ""black soil"": 0.65, ""clay soil"": 0.35}","{""Rabi"": 1.0, ""Winter"": 0.95, ""Kharif"": 0.4, ""Summer"": 0.3}"
Fennel,Spice,sombu,400,alluvial soil|red soil,alluvial soil|red soil,Rabi|Winter,October-November,Better in dry cool season under irrigation,Heavy humidity may reduce seed quality.,assumption_based_fallback,"This record is a manually created agronomic assumption for fallback suitability guidance only. It is not part of the original historical dataset or trained ML model, and it may be wrong.",suitability|whatif|planting_time|generic_fertilizer,medium,"{""alluvial soil"": 1.0, ""red soil"": 0.8, ""black soil"": 0.45, ""clay soil"": 0.35}","{""Rabi"": 1.0, ""Winter"": 0.95, ""Kharif"": 0.4, ""Summer"": 0.3}"
Cocoa,Plantation,cacao,1300,alluvial soil|red soil,alluvial soil|red soil|clay soil,Kharif|Whole Year,June-October,Better as intercrop in coconut/arecanut belts,"Needs shade, humidity, and assured moisture.",assumption_based_fallback,"This record is a manually created agronomic assumption for fallback suitability guidance only. It is not part of the original historical dataset or trained ML model, and it may be wrong.",suitability|whatif|planting_time|generic_fertilizer,medium,"{""alluvial soil"": 1.0, ""red soil"": 0.9, ""clay soil"": 0.55, ""black soil"": 0.45}","{""Kharif"": 1.0, ""Whole Year"": 0.85, ""Rabi"": 0.7, ""Summer"": 0.35}"
Aloe Vera,Medicinal,katralai,300,red soil|alluvial soil,red soil|alluvial soil|black soil,Whole Year|Kharif|Rabi,June-December,Good in dry districts with low irrigation,Succulent medicinal crop tolerant to drought.,assumption_based_fallback,"This record is a manually created agronomic assumption for fallback suitability guidance only. It is not part of the original historical dataset or trained ML model, and it may be wrong.",suitability|whatif|planting_time|generic_fertilizer,medium,"{""red soil"": 1.0, ""alluvial soil"": 0.8, ""black soil"": 0.65, ""clay soil"": 0.2}","{""Whole Year"": 1.0, ""Kharif"": 0.8, ""Rabi"": 0.9, ""Summer"": 0.85}"
Senna,Medicinal,nilavakai,250,red soil|black soil,red soil|black soil|alluvial soil,Kharif|Rabi,February-March|June-July,Suitable in dry tracts,Assumed hardy medicinal crop for lower rainfall areas.,assumption_based_fallback,"This record is a manually created agronomic assumption for fallback suitability guidance only. It is not part of the original historical dataset or trained ML model, and it may be wrong.",suitability|whatif|planting_time|generic_fertilizer,medium,"{""red soil"": 1.0, ""black soil"": 0.8, ""alluvial soil"": 0.65, ""clay soil"": 0.2}","{""Kharif"": 0.9, ""Rabi"": 1.0, ""Summer"": 0.75, ""Whole Year"": 0.7}"
Coleus,Medicinal,coleus forskohlii|kattukaruveppilai?,500,red soil|alluvial soil,red soil|alluvial soil|black soil,Kharif|Rabi,June-December,Possible in herb-growing belts under irrigation,Medicinal tuber crop needing drainage.,assumption_based_fallback,"This record is a manually created agronomic assumption for fallback suitability guidance only. It is not part of the original historical dataset or trained ML model, and it may be wrong.",suitability|whatif|planting_time|generic_fertilizer,medium,"{""red soil"": 1.0, ""alluvial soil"": 0.85, ""black soil"": 0.65, ""clay soil"": 0.3}","{""Kharif"": 0.9, ""Rabi"": 1.0, ""Summer"": 0.6, ""Whole Year"": 0.75}"
Gloriosa Lily,Medicinal,glory lily|kanvali kilangu,500,red soil|alluvial soil,red soil|alluvial soil,Kharif,July-August,Known in some dry belts with support systems,Climbing medicinal crop; assumed niche suitability.,assumption_based_fallback,"This record is a manually created agronomic assumption for fallback suitability guidance only. It is not part of the original historical dataset or trained ML model, and it may be wrong.",suitability|whatif|planting_time|generic_fertilizer,medium,"{""red soil"": 1.0, ""alluvial soil"": 0.8, ""black soil"": 0.35, ""clay soil"": 0.25}","{""Kharif"": 1.0, ""Rabi"": 0.55, ""Summer"": 0.35, ""Whole Year"": 0.4}"
